modelo,MSE,RMSE,R^2
AdaBoost,5.057023267619478,2.2487826190228963,0.9059446205679267
XGBoost,5.117726981015631,2.2622393730583927,0.9048155945590947
AdaBoost CV,5.047473772444964,2.2466583568591294,0.9061222312579496
XGB CV,5.387501312132498,2.321099160340311,0.8997980722477578
